ilkid,year,firstname,lastname,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,pf,fga,fgm,fta,ftm,tpa,tpm,allstar
ABDULKA01 ,1979,Kareem,Abdul-jabbar,LAL,gp-mb,minutes-mb,pts-mb,oreb-b,dreb-mb,reb-mb,asts-b,stl-b,blk-mb,pf-b,fga-mb,fgm-mb,fta-b,ftm-b,tpa-mr,tpm-mr,YES
ABERNTO01 ,1979,Tom,Abernethy,GSW,gp-b,minutes-b,pts-r,oreb-r,dreb-r,reb-r,asts-r,stl-r,blk-mr,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
ADAMSAL01 ,1979,Alvan,Adams,PHO,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
ARCHINA01 ,1979,Nate,Archibald,BOS,gp-mb,minutes-mb,pts-b,oreb-r,dreb-r,reb-r,asts-mb,stl-b,blk-mr,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,YES
AWTREDE01 ,1979,Dennis,Awtrey,CHI,gp-r,minutes-mr,pts-mr,oreb-mr,dreb-r,reb-r,asts-mr,stl-mr,blk-r,pf-r,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILEGU01 ,1979,Gus,Bailey,WA1,gp-mr,minutes-mr,pts-mr,oreb-mr,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
BAILEJA01 ,1979,James,Bailey,SEA,gp-b,minutes-r,pts-r,oreb-b,dreb-r,reb-r,asts-mr,stl-r,blk-b,pf-b,fga-r,fgm-r,fta-r,ftm-r,tpa-mr,tpm-mr,NO
BALLAGR01 ,1979,Greg,Ballard,WA1,gp-mb,minutes-mb,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-b,fga-b,fgm-b,fta-b,ftm-b,tpa-r,tpm-r,NO
BANTOMI01 ,1979,Mike,Bantom,IND,gp-mb,minutes-b,pts-b,oreb-b,dreb-b,reb-b,asts-b,stl-b,blk-b,pf-mb,fga-b,fgm-b,fta-b,ftm-b,tpa-mr,tpm-mr,NO
BARNEMA01 ,1979,Marvin,Barnes,SDC,gp-mr,minutes-mr,pts-mr,oreb-r,dreb-mr,reb-mr,asts-mr,stl-mr,blk-mr,pf-mr,fga-mr,fgm-mr,fta-mr,ftm-mr,tpa-mr,tpm-mr,NO
